Song,Concert,Year
El Paso,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Jack-a-Roe,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Beat it on Down the Line,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
It Must Have Been the Roses,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
C.C. Rider,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Althea,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Looks Like Rain,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Deal,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Man Smart/Woman Smarter,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Scarlet Begonias,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Fire on the Mountain,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Estimated Prophet,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Terrapin Station,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
drums,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Not Fade Away,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Black Peter,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Sugar Magnolia,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Satisfaction,"McNichols Sports Arena, Denver, CO (7/13/81)",1981
Cold Rain and Snow,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
New Minglewood Blues,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Friend of the Devil,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Cassidy,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
To Lay Me Down,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Me and My Uncle,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Mexicali Blues,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Big Railroad Blues,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Little Red Rooster,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Bird Song,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Lost Sailor,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Saint of Circumstance,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Don't Ease Me In,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Shakedown Street,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Samson and Delilah,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
High Time,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Truckin',"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Eyes of the World,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
drums,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
The Other One,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Wharf Rat,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Good Lovin',"McNichols Sports Arena, Denver, CO (7/14/81)",1981
U.S. Blues,"McNichols Sports Arena, Denver, CO (7/14/81)",1981
Alabama Getaway,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Greatest Story Ever Told,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Friend of the Devil,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Mama Tried,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Mexicali Blues,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Jack-a-Roe,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
C.C. Rider,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Althea,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Lost Sailor,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Saint of Circumstance,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Might As Well,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Man Smart/Woman Smarter,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Scarlet Begonias,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Fire on the Mountain,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Estimated Prophet,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Eyes of the World,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
drums,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Spanish Jam,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Truckin',"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Morning Dew,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Around and Around,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
Good Lovin',"Salt Palace, Salt Lake City, UT (8/12/81)",1981
U.S. Blues,"Salt Palace, Salt Lake City, UT (8/12/81)",1981
New Minglewood Blues,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Sugaree,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
On the Road Again,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Peggy-O,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Beat it on Down the Line,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Brown Eyed Women,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Little Red Rooster,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Don't Ease Me In,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Looks Like Rain,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Bertha,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Promised Land,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Might As Well,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Samson and Delilah,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Ship of Fools,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Playin' in the Band,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
China Cat Sunflower,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
I Know You Rider,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
drums,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Playin' in the Band,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Wharf Rat,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Goin' Down the Road Feelin' Bad,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
I Need a Miracle,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Johnny B. Goode,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Baby Blue,"Seattle Center Coliseum, Seattle, WA (8/14/81)",1981
Shakedown Street,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Me and My Uncle,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Big River,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Tennessee Jed,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Cassidy,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Candyman,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
C.C. Rider,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Althea,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Let it Grow,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Might As Well,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Man Smart/Woman Smarter,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
To Lay Me Down,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Lost Sailor,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Saint of Circumstance,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Terrapin Station,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
drums,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Not Fade Away,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Black Peter,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Sugar Magnolia,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
One More Saturday Night,"Portland Memorial Coliseum, Portland, OR (8/15/81)",1981
Jack Straw,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Friend of the Devil,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
El Paso,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Loser,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
New Minglewood Blues,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Peggy-O,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Little Red Rooster,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Deal,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Feel Like a Stranger,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Scarlet Begonias,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Fire on the Mountain,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Estimated Prophet,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Eyes of the World,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
drums,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
The Other One,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Stella Blue,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Around and Around,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Good Lovin',"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Baby Blue,"McArthur Court (U of Oregon), Eugene, OR (8/16/81)",1981
Alabama Getaway,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Promised Land,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Friend of the Devil,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
C.C. Rider,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Peggy-O,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
El Paso,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Bird Song,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Passenger,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Cumberland Blues,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Looks Like Rain,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Might As Well,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Samson and Delilah,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Scarlet Begonias,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Fire on the Mountain,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Estimated Prophet,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Eyes of the World,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
drums,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Not Fade Away,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Black Peter,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Good Lovin',"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Don't Ease Me In,"Long Beach Arena, Long Beach, CA (8/27/81)",1981
Jack Straw,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
They Love Each Other,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Me and My Uncle,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Big River,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Althea,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Little Red Rooster,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Brown Eyed Women,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Let it Grow,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
China Cat Sunflower,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
I Know You Rider,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Shakedown Street,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Lost Sailor,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Saint of Circumstance,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
The Wheel,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Good Time Blues,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
drums,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Spanish Jam,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Truckin',"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Wharf Rat,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Sugar Magnolia,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
U.S. Blues,"Long Beach Arena, Long Beach, CA (8/28/81)",1981
Mississippi Half-Step,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Franklin's Tower,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
New Minglewood Blues,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Tennessee Jed,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Mama Tried,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Mexicali Blues,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
It Must Have Been the Roses,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Beat it on Down the Line,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Cumberland Blues,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Looks Like Rain,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Might As Well,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Samson and Delilah,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Ship of Fools,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Estimated Prophet,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
He's Gone,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
drums,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
The Other One,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Stella Blue,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Goin' Down the Road Feelin' Bad,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Good Lovin',"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Don't Ease Me In,"Compton Terrace Amphitheater, Tempe, AZ (8/30/81)",1981
Feel Like a Stranger,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Jack-a-Roe,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
El Paso,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Candyman,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Little Red Rooster,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Loser,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Cassidy,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Althea,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Let it Grow,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Deal,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Lost Sailor,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Saint of Circumstance,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Scarlet Begonias,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Fire on the Mountain,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Playin' in the Band,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
drums,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Good Time Blues,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Morning Dew,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Playin' in the Band,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Around and Around,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
Johnny B. Goode,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
U.S. Blues,"Aladdin Theater, Las Vegas, NV (8/31/81)",1981
New Minglewood Blues,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
They Love Each Other,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Mama Tried,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Mexicali Blues,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Candyman,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Little Red Rooster,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Cumberland Blues,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Beat it on Down the Line,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Althea,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Lost Sailor,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Saint of Circumstance,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Deal,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Feel Like a Stranger,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Franklin's Tower,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Man Smart/Woman Smarter,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
He's Gone,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Truckin',"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
drums,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
The Other One,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Morning Dew,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Johnny B. Goode,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Don't Ease Me In,"Greek Theater (U of California), Berkeley, CA (9/11/81)",1981
Shakedown Street,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Greatest Story Ever Told,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Friend of the Devil,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
El Paso,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Bird Song,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Cassidy,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Tennessee Jed,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Looks Like Rain,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
China Cat Sunflower,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
I Know You Rider,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Scarlet Begonias,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Fire on the Mountain,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
C.C. Rider,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Estimated Prophet,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Eyes of the World,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
drums,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Not Fade Away,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Wharf Rat,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Around and Around,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
One More Saturday Night,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Baby Blue,"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Good Lovin',"Greek Theater (U of California), Berkeley, CA (9/12/81)",1981
Jack Straw,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Bertha,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Me and My Uncle,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Big River,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
To Lay Me Down,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Little Red Rooster,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Loser,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Passenger,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Ramble on Rose,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Let it Grow,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Might As Well,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Cold Rain and Snow,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Samson and Delilah,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
It Must Have Been the Roses,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Lost Sailor,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Saint of Circumstance,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Terrapin Station,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Good Time Blues,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
drums,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
The Wheel,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
I Need a Miracle,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Goin' Down the Road Feelin' Bad,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Sugar Magnolia,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Satisfaction,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
Brokedown Palace,"Greek Theater (U of California), Berkeley, CA (9/13/81)",1981
New Minglewood Blues,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Friend of the Devil,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
El Paso,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Peggy-O,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Little Red Rooster,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Bird Song,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Beat it on Down the Line,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Cumberland Blues,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Passenger,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Althea,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Music Never Stopped,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Might As Well,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Samson and Delilah,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Scarlet Begonias,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Fire on the Mountain,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Good Time Blues,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Lost Sailor,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Saint of Circumstance,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
drums,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
The Wheel,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Sugar Magnolia,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Black Peter,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Around and Around,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Sunshine Daydream,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
U.S. Blues,"Stabler Arena (Lehigh U), Bethlehem, PA (9/25/81)",1981
Shakedown Street,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
C.C. Rider,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
They Love Each Other,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Cassidy,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Jack-a-Roe,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
On the Road Again,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Ramble on Rose,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Looks Like Rain,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Brown Eyed Women,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Let it Grow,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Don't Ease Me In,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Playin' in the Band,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Bertha,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Estimated Prophet,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Goin' Down the Road Feelin' Bad,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
drums,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Not Fade Away,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Morning Dew,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Playin' in the Band,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
One More Saturday Night,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Johnny B. Goode,"War Memorial Auditorium, Buffalo, NY (9/26/81)",1981
Jack Straw,"Capital Centre, Landover, MD (9/27/81)",1981
Alabama Getaway,"Capital Centre, Landover, MD (9/27/81)",1981
Promised Land,"Capital Centre, Landover, MD (9/27/81)",1981
Candyman,"Capital Centre, Landover, MD (9/27/81)",1981
Little Red Rooster,"Capital Centre, Landover, MD (9/27/81)",1981
Althea,"Capital Centre, Landover, MD (9/27/81)",1981
Me and My Uncle,"Capital Centre, Landover, MD (9/27/81)",1981
Mexicali Blues,"Capital Centre, Landover, MD (9/27/81)",1981
It Must Have Been the Roses,"Capital Centre, Landover, MD (9/27/81)",1981
Lost Sailor,"Capital Centre, Landover, MD (9/27/81)",1981
Saint of Circumstance,"Capital Centre, Landover, MD (9/27/81)",1981
China Cat Sunflower,"Capital Centre, Landover, MD (9/27/81)",1981
I Know You Rider,"Capital Centre, Landover, MD (9/27/81)",1981
Man Smart/Woman Smarter,"Capital Centre, Landover, MD (9/27/81)",1981
He's Gone,"Capital Centre, Landover, MD (9/27/81)",1981
Truckin',"Capital Centre, Landover, MD (9/27/81)",1981
drums,"Capital Centre, Landover, MD (9/27/81)",1981
Spanish Jam,"Capital Centre, Landover, MD (9/27/81)",1981
Wharf Rat,"Capital Centre, Landover, MD (9/27/81)",1981
I Need a Miracle,"Capital Centre, Landover, MD (9/27/81)",1981
Good Lovin',"Capital Centre, Landover, MD (9/27/81)",1981
Baby Blue,"Capital Centre, Landover, MD (9/27/81)",1981
Alabama Getaway,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
Greatest Story Ever Told,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
They Love Each Other,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
Little Red Rooster,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
Candyman,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
Me and My Uncle,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
Big River,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
Loser,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
New Minglewood Blues,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
Althea,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
Let it Grow,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
Don't Ease Me In,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
Feel Like a Stranger,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
Ship of Fools,"Playhouse Theater, Edinburgh, XS (9/30/81)",1981
